AGENCY #,AGENCY TITLE,ROLE,SERVICE TYPE,FULL/PART-TIME,ANNUAL SALARY
58090,OUS - ACME University,Info Technology Consultant,Classified Staff,Full-Time,73677
58090,OUS - ACME University,Instrument Technician 3-Electr,Classified Staff,Full-Time,51540
58090,OUS - ACME University,Instrument Technology Mechanic,Classified Staff,Full-Time,56679
58090,OUS - ACME University,Laboratory Technician 1,Classified Staff,Full-Time,13937
58090,OUS - ACME University,Laboratory Technician 1,Classified Staff,Full-Time,24414
58090,OUS - ACME University,Laboratory Technician 2,Classified Staff,Part-Time,18192
58090,OUS - ACME University,Laboratory Technician 2,Classified Staff,Full-Time,44719
58090,OUS - ACME University,Laboratory Technician 2,Classified Staff,Full-Time,35463
58090,OUS - ACME University,Laborer 2,Classified Staff,Full-Time,28745
58090,OUS - ACME University,Library Technician 2,Classified Staff,Full-Time,40764
58090,OUS - ACME University,Library Technician 2,Classified Staff,Full-Time,31158
58090,OUS - ACME University,Library Technician 2,Classified Staff,Full-Time,28745
58090,OUS - ACME University,Library Technician 2,Classified Staff,Full-Time,35463
58090,OUS - ACME University,Library Technician 2,Classified Staff,Full-Time,31158
58090,OUS - ACME University,Library Technician 3,Classified Staff,Full-Time,46980
58090,OUS - ACME University,Library Technician 3,Classified Staff,Full-Time,46980
58090,OUS - ACME University,Library Technician 3,Classified Staff,Full-Time,38916
58090,OUS - ACME University,Library Technician 3,Classified Staff,Full-Time,46980
58090,OUS - ACME University,Library Technician 3,Classified Staff,Full-Time,46980
58090,OUS - ACME University,Library Technician 3,Classified Staff,Full-Time,42702
58090,OUS - ACME University,Library Technician 3,Classified Staff,Full-Time,40767
58090,OUS - ACME University,Library Technician 3,Classified Staff,Full-Time,38011
58090,OUS - ACME University,Library Technician 3,Classified Staff,Full-Time,38916
58090,OUS - ACME University,Library Technician 3,Classified Staff,Full-Time,46980
58090,OUS - ACME University,Library Technician 3,Classified Staff,Full-Time,44719
58090,OUS - ACME University,Library Technician 3,Classified Staff,Full-Time,46980
58090,OUS - ACME University,Library Technician 3,Classified Staff,Full-Time,46980
58090,OUS - ACME University,Library Technician 3,Classified Staff,Full-Time,46986
58090,OUS - ACME University,Library Technician 3,Classified Staff,Full-Time,46980
58090,OUS - ACME University,Library Technician 3,Classified Staff,Full-Time,44719
58090,OUS - ACME University,Library Technician 3,Classified Staff,Full-Time,46980
58090,OUS - ACME University,Library Technician 3,Classified Staff,Full-Time,46980
58090,OUS - ACME University,Library Technician 3,Classified Staff,Full-Time,44719
58090,OUS - ACME University,Locksmith,Classified Staff,Full-Time,37127
58090,OUS - ACME University,Mail Services Assistant,Classified Staff,Part-Time,4022
58090,OUS - ACME University,Management Analyst 2,Classified Staff,Full-Time,38916
58090,OUS - ACME University,Medical Aide,Classified Staff,Full-Time,28745
58090,OUS - ACME University,Medical Aide,Classified Staff,Full-Time,35463
58090,OUS - ACME University,Medical Aide,Classified Staff,Full-Time,32551
58090,OUS - ACME University,Medical Aide,Classified Staff,Full-Time,31158
58090,OUS - ACME University,Medical Aide,Classified Staff,Full-Time,33945
58090,OUS - ACME University,Mid-level Medical Practitioner,Classified Staff,Full-Time,91185
58090,OUS - ACME University,Mid-level Medical Practitioner,Classified Staff,Full-Time,72946
58090,OUS - ACME University,Office Specialist 1,Classified Staff,Full-Time,32551
58090,OUS - ACME University,Office Specialist 1,Classified Staff,Full-Time,16973
58090,OUS - ACME University,Office Specialist 1,Classified Staff,Full-Time,16968
58090,OUS - ACME University,Office Specialist 1,Classified Staff,Full-Time,25854
58090,OUS - ACME University,Office Specialist 1,Classified Staff,Full-Time,24939
58090,OUS - ACME University,Office Specialist 1,Classified Staff,Full-Time,29972
58090,OUS - ACME University,Office Specialist 1,Classified Staff,Full-Time,27871
58090,OUS - ACME University,Office Specialist 1,Classified Staff,Full-Time,26811
58090,OUS - ACME University,Office Specialist 1,Classified Staff,Full-Time,24939
58090,OUS - ACME University,Office Specialist 1,Classified Staff,Full-Time,24414
